"mProtein","dProtein"
"Q9BQS8","P60520"
"P05412","P62136"
"O60927","P62136"
"O94763","P62136"
"Q14684","P62136"
"Q5S007","P62136"
"Q96QC0","P62136"
"Q8NI77","P62136"
"Q99459","P62136"
"Q12972","P62136"
"Q9NWS0","P62136"
"Q96T49","P62136"
"Q9NQX3","P63167"
"P07237","Q12824"
"Q9Y4L1","Q12824"
"P27797","Q12824"
"Q15293","Q12824"
"P14625","Q12824"
"Q6P6B1","Q14145"
"Q9P202","Q14145"
"Q9NY33","Q14145"
"A0A0C4DFT7","Q14145"
"P02724","Q14145"
"B8Q183","Q14145"
"Q8TDV0","Q14145"
"O14920","Q14145"
"Q16236","Q14145"
"Q6P1L5","Q14145"
"Q86YC2","Q14145"
"Q9Y3Q8","Q14145"
"P02452","Q14145"
"Q9BWT7","Q14145"
"Q9HBW0","Q15599"
"Q15139","Q15599"
"P13569","Q15599"
"Q05066","Q15599"
"P46937","Q15599"
"Q17R89","Q15599"
"Q8TBB1","Q5VWX1"
"Q8WWY3","Q5VWX1"
"Q8TBE0","Q5VWX1"
"Q8NEC5","Q5VWX1"
"O00560","Q5VWX1"
"Q92529","Q8N6Y0"
"Q96B02","Q8N6Y0"
"Q8IVT4","Q8N6Y0"
"Q9BQ89","Q8N6Y0"
"Q6PIY2","Q8N6Y0"
"Q13064","Q8N6Y0"
"P37198","Q8N6Y0"
"Q9NPJ6","Q8N6Y0"
"Q63ZY3","Q8N6Y0"
"Q14D33","Q8N6Y0"
"Q8TAB5","Q8N6Y0"
"O95678","Q8N6Y0"
"P54646","Q8N6Y0"
"Q6P1K2","Q8N6Y0"
"Q99816","Q8N6Y0"
"Q6PJG6","Q8N6Y0"
"Q96BZ8","Q8N6Y0"
"Q96GM5","Q8N6Y0"
"Q9Y4H4","Q8N6Y0"
"O15155","Q8N6Y0"
"Q9BYU1","Q8N6Y0"
"P15173","Q8N6Y0"
"P09683","Q8N6Y0"
"Q8N3L3","Q8N6Y0"
"Q76N32","Q8N6Y0"
"Q96FQ7","Q8N6Y0"
