"mProtein","dProtein"
"Q9UNM6","P19320"
"Q9NP79","P19320"
"Q15637","P19320"
"P29692","P19320"
"O43809","P19320"
"Q04637","P19320"
"Q96AE4","P19320"
"P01857","P19320"
"Q9H0A0","P19320"
"P22102","P19320"
"Q99661","P19320"
"Q00839","P19320"
"Q53FZ2","P19320"
"P23396","P19320"
"P23246","P19320"
"O75179","P19320"
"Q9Y5K6","P19320"
"P47897","P19320"
"Q9H3S7","P19320"
"Q6UY14","P19320"
"Q14160","P19320"
"P52594","P19320"
"P22061","P19320"
"Q15942","P19320"
"Q5SRE5","P19320"
"P22681","P19320"
"P18206","P19320"
"O43488","P19320"
"Q9H444","P19320"
"O60264","P19320"
"Q6P2E9","P19320"
"P78527","P19320"
"Q15181","P19320"
"Q9NU22","P19320"
"P09668","P19320"
"P33992","P19320"
"P04075","P19320"
"O75694","P19320"
"Q15785","P19320"
"P50552","P19320"
"P49411","P19320"
"P46940","P19320"
"O00232","P19320"
"Q9ULH0","P19320"
"P16949","P19320"
"P07384","P19320"
"P35908","P19320"
"Q9UKD2","P19320"
"P48444","P19320"
"P54577","P19320"
"Q92614","P19320"
"P19338","P19320"
"P98179","P19320"
"Q9H583","P19320"
"Q9Y6B6","P19320"
"Q13526","P19320"
"Q96HS1","P19320"
"E9PB61","P19320"
"P42677","P19320"
"Q5SSJ5","P19320"
"Q9NVP1","P19320"
"P49915","P19320"
"P43405","P19320"
"P31946","P19320"
"P52292","P19320"
"P17096","P19320"
"O43242","P19320"
"P08559","P19320"
"P84098","P19320"
"Q6P2Q9","P19320"
"P26373","P19320"
"Q00059","P19320"
"P61981","P19320"
"P26038","P19320"
"P21912","P19320"
"P13612","P19320"
"Q13310","P19320"
"P08238","P19320"
"O60231","P19320"
"P0DMV9","P19320"
"P07910","P19320"
"P78344","P19320"
"P26641","P19320"
"P52597","P19320"
"O43395","P19320"
"Q15102","P19320"
"Q9NX63","P19320"
"P05109","P19320"
"Q9UKM9","P19320"
"P06493","P19320"
"Q14566","P19320"
"P07814","P19320"
"Q96QK1","P19320"
"O00567","P19320"
"P41252","P19320"
"Q7L2E3","P19320"
"P12956","P19320"
"P50402","P19320"
"Q9UBQ5","P19320"
"P08779","P19320"
"Q99613","P19320"
"P12270","P19320"
"P42566","P19320"
"P56192","P19320"
"O14744","P19320"
"P11387","P19320"
"Q08945","P19320"
"P62913","P19320"
"Q8TC07","P19320"
"P63104","P19320"
"Q12906","P19320"
"P49736","P19320"
"P35580","P19320"
"P55196","P19320"
"Q15154","P19320"
"Q8IWZ3","P19320"
"P35579","P19320"
"O75643","P19320"
"P40926","P19320"
"Q9NYF8","Q5S007"
"P54136","Q5S007"
"O43143","Q5S007"
"P52701","Q5S007"
"O95831","Q5S007"
"P08708","Q5S007"
"Q4G0J3","Q5S007"
"Q12904","Q5S007"
"P37108","Q5S007"
"P78371","Q5S007"
"P00338","Q5S007"
"O75477","Q5S007"
"Q13200","Q5S007"
"Q16531","Q5S007"
"Q9Y4E8","Q5S007"
"P02768","Q5S007"
"Q14974","Q5S007"
"P46063","Q5S007"
"Q02790","Q5S007"
"Q9HAV7","Q5S007"
"P25685","Q5S007"
"Q14566","Q5S007"
"P61086","Q5S007"
"P53618","Q5S007"
"Q7L1Q6","Q5S007"
"P05787","Q5S007"
"P61956","Q5S007"
"Q2NL82","Q5S007"
"O75643","Q5S007"
"P25788","Q5S007"
"P14618","Q5S007"
