"mProtein","dProtein"
"Q9NQ48","Q9NRD5"
"Q15735","Q9NRD5"
"Q5T6S3","Q9NRD5"
"Q9BYU1","Q9NRD5"
"Q92993","Q9NRD5"
"Q5QJE6","Q9NRD5"
"Q92785","Q9NRD5"
"O43167","Q9NRD5"
"Q9C086","Q9NRD5"
"Q969R5","Q9NRD5"
"Q9NTM9","Q9NRD5"
"Q96MU7","Q9NRD5"
"Q96MH2","Q9NRD5"
"Q9BU76","Q9NRD5"
"Q9UHV2","Q9NRD5"
"Q08426","Q9NRD5"
"P11532","Q9NRD5"
"Q5T686","Q9NRD5"
"Q9WMX2","Q9NRD5"
"Q56NI9","Q9NRD5"
"Q6NTE8","Q9NRD5"
"Q9H7E9","Q9NRD5"
"Q9NU19","Q9NRD5"
"Q8TAE8","Q9NRD5"
"Q15560","Q9NRD5"
"Q8IYH5","Q9NRD5"
"Q9HAN9","Q9NRD5"
"Q96GM5","Q9NRD5"
"Q70IA8","Q9NRD5"
"O60437","Q9NRD5"
"H9XIJ5","P04083"
"Q13546","P04083"
"Q8N163","P04083"
"Q09SZ7","Q14160"
"Q14500","Q14160"
"Q8AZK7","P35998"
"Q13115","P35998"
"P38936","P35998"
"P50613","P21675"
"O95402","P21675"
"P20226","P21675"
"P68431","P21675"
"Q12962","P21675"
"Q9WMX2","P21675"
"O75923","P21675"
"Q5JTC6","Q9UKB1"
"Q96K76","Q9UKB1"
"P19838","Q9UKB1"
"Q84940","Q9UKB1"
"P35222","Q9UKB1"
"O15169","Q9UKB1"
"P17181","Q9UKB1"
"Q3KP66","Q9UKB1"
"P30304","Q9UKB1"
"Q00987","Q9UKB1"
"P30291","Q9UKB1"
"P03101","P52292"
"Q15637","P52292"
"Q9HAN9","P52292"
"Q9UJW9","P52292"
"Q9UKX7","P52292"
"Q8NBZ0","P52292"
"O95816","Q08211"
"Q6QDQ4","Q08211"
"Q71U36","Q08211"
"P67809","Q08211"
"P02751","P05556"
"P13612","P05556"
"O43493","P05556"
"P03246","P05556"
"P78423","P05556"
"P18031","P05556"
"O14672","P05556"
"P32927","P05556"
"P21333","P05556"
"P19320","P05556"
"Q6NUS6","P05556"
"Q9WH13","Q12959"
"Q8AZK7","Q7Z4N8"
"Q9BVN2","Q7Z4N8"
"O43482","Q7Z4N8"
"Q9NZ72","Q7Z4N8"
"Q86V38","Q7Z4N8"
"P31345","O00629"
"P03126","Q12959"
"P13569","P26599"
"P09012","P26599"
"O56264","P26599"
"O00429","P26599"
"Q9UBW7","P26599"
"P05412","P26599"
"Q5S007","P26599"
"Q2PJP0","O14908"
"Q8AZK7","P46781"
"P13569","P46781"
